id_tse,firm,symbol,fin_year,year,month,industry,industry_id,sum_over1,num_holders,largest_owner,first_second,first_sumtwofour,sumfive,sumfour,sumthree,sumtwo,gini,herfindahl,sscl,ssco,ssdl,ssdo,bzcl,bzco,bzdl,tot_asset,tot_lib,ppe,book_value,marketcap,capital,equity,revenue,cost_of_revenue,gross_profit,operating_expenses,operating_income,ebt,tax,net_income,eps,operating_cash_flow,investing_cash_flow,financing_cash_flow,begining_cash_position,change_in_cash,end_cash_position,dividend,payout,dps,adj_eps,adj_dps,adj_earning,adj_dividend,DIVTOI,DIVTNI,DIVTEQ,DIVTS,DPAY,DIVTMVE,ROA,ROE,DLOSS,NPLOSS,MTB,LEVRG,LNTA,LNQ,LHH,Q,DEBT
4.48348475693e+16,کنتورسازی ایران,آکنتور,1388-12-29,1388,12,ابزارپزشکی، اپتیکی و اندازه‌گیری,0,12.2,4,3.25,1,.36312848,12.2,12.2,9.3500004,6.5,.043715846,.37369999,.033238001,0.9379440000000012,.033560999,.93713802,.033493999,.93738103,1,689709,417982,110653,271727,875175,105000,271727,664193,435325,228868,-12500,191168,182459,35198,147261,1402,91543,-34732,69543,5655,39741,45396,105000,.71329999,1000,4748.1968,3386.7307,49856.063,35560.672,.54925513,.71301973,.38641724,.15808658,1,.11997601,.27717197,.70352966,0,0,3.2207878,.60602659,13.444025,1.169626,-.98430198,3.2207878,.60602659
6.29521654211e+16,کابل البرز,بالبر,1389-06-31,1388,6,ماشین آلات و دستگاه‌های برقی,37,67.900002,10,13.88,1,.38706079,55.360001,49.740002,38.75,27.76,.44889542,7.04141,.15578701,0.6359309999999996,.15694,.63346797,.154477,.65068799,.38462001,289175,197660,29551,91515,114798,114000,91515,362031,317119,44912,-4681,24211,9189,,9189,81,-13301,-4394,41739,3946,17744,21690,0,0,0,274.3252,0,3127.3071,0,0,0,0,0,0,0,.083724387,.26455772,0,0,1.2544173,.68353075,12.574787,.22667116,1.9518085,1.2544173,.68353075
4.67525995690e+16,ایران ترانسفو,بترانس,1388-12-29,1388,12,ماشین آلات و دستگاه‌های برقی,37,61.400002,14,7.5300002,1,.34684476,34.310001,29.24,22.15,15.06,.32623401,3.4955161,.079620004,0.6822199999999999,.080202997,.67989898,.080882996,.68194002,.25424001,5401159,3627844,255486,1773315,3813900,300000,1773315,3108607,2065421,1043186,21223,825650,1060409,179797,880612,2935,489333,-164298,131813,117695,-30782,86913,600000,.6814,2000,9940.0547,6773.4614,298201.66,203203.84,.72670019,.68134433,.33834937,.19301249,1,.15731928,.15286534,.46559691,0,0,2.1507177,.67167878,15.502124,.76580161,1.2514811,2.1507177,.67167878
2.20868767246e+16,موتوژن,بموتو,1388-09-30,1388,9,ماشین آلات و دستگاه‌های برقی,37,68.559998,10,21.08,1,.5588547,61.189999,58.799999,50.48,42.16,.60819393,10.449108,.2606,0.6113110000000007,.263037,.60845202,.44505399,.48673999,1,,,,,486486,226800,,705358,564793,140565,18150,133756,103521,21484,82037,362,,,,,,,70308,.85640001,310,1225.9966,1049.8866,27805.602,23811.428,.52564371,.85702795,,.099677041,1,.14452215,,,0,0,,,,,2.3465166,,
7.02196638938e+16,جوشکاب یزد,بکاب,1389-06-31,1388,6,ماشین آلات و دستگاه‌های برقی,37,10.92,6,3.03,1,.5362832,9.8000002,8.6800003,7.3699999,6.0599999,.27985349,.243028,.030935001,0.9448979999999988,.031237001,.94419098,.031156,.944529,1,93732,41045,11160,52687,60183.2,15400,52687,66152,40605,25547,-1317,19213,15424,3085,12339,801,14427,-5614,3769,2502,-873,1629,18172,1.4732,1180,2712.7712,3996.3423,4177.668,6154.3672,.94581795,1.4727287,.34490481,.2747007,1,.30194473,.20497802,.364663,0,0,1.142278,.43789741,11.448195,.13302447,-1.4145786,1.142278,.43789741
1.92987484525e+16,تراکتورسازی,تایرا,,1388,,ماشین آلات و تجهیزات,36,96.360001,20,21.41,1,.63512313,59.860001,55.119999,48.970001,42.82,.51696491,11.214556,.26560301,0.4802870000000003,.26757401,.47766,.44024399,.37986499,.83556998,,,,,,,731613,,,,,,,,16830,187,,,,,,,0,0,0,633.31866,0,56998.68,0,,0,0,,0,,,,0,0,,,,,2.4172125,,
6.64560621407e+16,سر. سامان گستر اصفهان,ثامان,1389-06-31,1388,6,انبوه سازی، املاک و مستغلات,6,85.459999,14,25.469999,1,.69457322,64.879997,62.139999,56.540001,50.939999,.56757098,14.167702,.33458301,0.5093480000000004,.337731,.50623399,.76143497,.191259,1,600701,244345,9120,356356,177774.741,221941,356356,79935,62650,17285,12579,17421,10508,,10508,47,18681,-992,14569,6874,-1647,5227,2219.4099,.2128,10,159.17635,33.86731,3532.7759,751.65442,.12739854,.21121144,.0062280693,.027765183,1,.012484394,.029001117,.048886508,0,0,.49886838,.40676641,13.305853,-.69541299,2.6509647,.49886838,.40676641
3.08523916335e+16,عمران و توسعه فارس,ثفارس,1389-06-31,1388,6,انبوه سازی، املاک و مستغلات,6,80.059998,26,12.32,1,.57840377,37.41,33.619999,29.129999,24.639999,.39646265,4.5556979,.13806701,0.5862909999999997,.139057,.58378202,.169439,.568685,.46228999,251234,100936,44794,150298,179010,102000,150298,15612,8711,6901,,-4865,9337,32,9305,91,-9567,-2659,3106,625,1580,2205,918,.098899998,9,308.1925,30.480577,3143.5635,310.90189,-.18869476,.098656639,.0061078658,.058800921,1,.0051282053,-.019364417,-.032369025,1,0,1.1910338,.40176091,12.43414,.1748217,1.5163788,1.1910338,.40176091
3.28458915870e+16,نوسازی و ساختمان تهران,ثنوسا,1389-06-31,1388,6,انبوه سازی، املاک و مستغلات,6,37.5,14,4.3600001,1,.36272877,19.1,16.379999,12.55,8.7200003,.21956924,1.1404459,.045008,0.8092930000000005,.045387998,.807612,.045621999,.80872297,.25,1888361,1496547,2588,391814,452400,300000,391814,124447,,12934,126426,135528,53651,1311,52340,174,136474,-160451,145208,44463,-44272,191,15000,.28740001,50,589.29114,169.33653,17678.734,5080.0962,.11067823,.28658769,.038283471,.12053324,1,.033156499,.071770176,.34589881,0,0,1.1546295,.79251105,14.45122,.14377949,.13141936,1.1546295,.79251105
2.22603260960e+16,حمل و نقل توکا,حتوکا,1388-12-29,1388,12,حمل ونقل، انبارداری و ارتباطات,12,50.380001,10,17.15,1,.76665175,41.77,39.52,36.91,34.299999,.57412553,6.2274661,.204326,0.7177770000000004,.20645399,.71516198,.40368599,.540236,1,334993,242695,74996,92298,124255.707,51537,92298,268908,240445,28463,,15262,21017,771,20246,393,34774,-5866,-2418,3079,1268,4347,13914.99,.68699998,270,1330.9852,914.4173,6859.4985,4712.6323,.91174096,.68729579,.15076156,.051746286,1,.11198673,.04555916,.1653557,0,0,1.3462448,.72447783,12.721865,.29731908,1.8289695,1.3462448,.72447783
